Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-05-30 01:40:00,2023-05-30 02:00:00,00:20:00,210-25-709/1/1  CINTA TRANSPORT DE CORTEZA LADO SU,P Madera L3,A,Taco de Corteza en Chute (Int.) (P Madera L3),  Operaciones,,N,S,Cinta 709 taco de corteza en zona motriz.,,,,,
2023-05-29 21:00:00,2023-05-29 21:15:00,00:15:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,C,Taco de Corteza en Chute (Int.) (P Madera L3),  Operaciones,,S,S,Cinta 385 taco de corteza en zona motriz.,,,,,
2023-05-29 19:15:00,2023-05-29 19:30:00,00:15:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,C,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-29 18:00:00,2023-05-29 19:00:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,C,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-29 17:00:00,2023-05-29 17:40:00,00:40:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,C,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,,,,,,
2023-05-29 14:00:00,2023-05-29 15:00:00,01:00:00,210-21-706/2  MOTOR ELEC ACCTO N°2 CLASIF PIEDR-AR,P Madera L3,B,Taco de Corteza en Chute (Int.) (P Madera L3),  Operaciones,,S,S,Taco de corteza en ducto aceptado scalper 706/2.,,,,,
2023-05-29 12:00:00,2023-05-29 12:20:00,00:20:00,210-25-709/1/1  CINTA TRANSPORT DE CORTEZA LADO SU,P Madera L3,B,Otros (P Madera L3),    Mecánica,,S,S,"Retiro de trozos en zona motriz cinta 709, Por falta de anillos M-1,M2.",,,,,
2023-05-29 10:00:00,2023-05-29 10:30:00,00:30:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,B,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,,,,,,
2023-05-29 06:00:00,2023-05-29 06:30:00,00:30:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,A,Limpieza de Equipo (Int.) (P Madera L3),  Operaciones,,N,S,Cinta 391/4 limpieza de cinta tiempo acumulativo.,,,,,
2023-05-29 04:50:00,2023-05-29 05:50:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Taco de Astillas (Int.) (P Madera L3),  Operaciones,,S,S,Astillador 209 taco de astilla en ducto de finos.,,,,,
